a,m,d1,d2,T_end,mean_v_0,var_v_0,max_v_0,mean_v_T,var_v_T,max_v_T,pattern
0.904433734939759,0.45,100,0.01,200,1.104313250497731,9.882171646266659e-05,1.1395362483280587,0.5247669772711624,0.1026099841040338,1.3083368872110224,0
1.928325301204819,0.45,100,0.01,400,4.037576160859451,9.96733604776185e-05,4.079140413180308,3.24955641498397,3.026301488153866,7.955482525029454,0
2.9522168674698794,0.45,100,0.01,600,6.404345688088004,9.989688595151318e-05,6.438572472510572,5.715044261314382,13.145352072078511,44.71214872182633,1
3.9761084337349395,0.45,100,0.01,600,8.721200688353704,9.913088189941384e-05,8.760141747660088,8.121425301448419,13.052820590314028,36.12629767457284,1
5.0,0.45,100,0.01,52,11.020390602973993,9.611001866652845e-05,11.056841913487206,14.134603157321331,4.478438990426321,16.367979371105726,4
1.928325301204819,0.45,100,0.02,600,4.03742236857714,9.86074453742865e-05,4.077406222878683,3.2832335125139727,7.458305896986837,28.293744173591712,1
2.9522168674698794,0.45,100,0.02,600,6.40430348698808,9.900143345845072e-05,6.439914206365324,5.697095556818573,9.235500045232287,26.146448031483505,1
3.9761084337349395,0.45,100,0.02,600,8.721052703140952,9.959608701320912e-05,8.761785573710721,8.072758408846612,9.200250993353404,22.403891573601378,1
5.0,0.45,100,0.02,52,11.020273032594835,9.741050291650639e-05,11.070848231696832,14.606298998375909,3.7244807692729047,16.344951123467204,4
