a,m,d1,d2,T_end,mean_v_0,var_v_0,max_v_0,mean_v_T,var_v_T,max_v_T,pattern
0.20176305220883534,0.1,5,0.02,10000,1.1417024159786497,9.899832763984958e-05,1.1814272347179533,1.1339025192011902,1.2075477484413601,3.9957876752937045,1
0.22183935742971886,0.1,5,0.02,10000,1.5891614983043407,0.0001010218057159342,1.6282055481098945,1.4133542005070097,0.9194116249813721,3.733126841190671,3
0.24191566265060238,0.1,5,0.02,10000,1.8900234099381248,9.81032626387748e-05,1.928215923160607,1.6864034714476581,0.6160922500753806,3.6426261013161265,3
0.26199196787148593,0.1,5,0.02,10000,2.156117815735593,9.905399747122942e-05,2.1942083700040276,1.9475546386071654,0.5238342247340236,3.771055660753376,3
0.40252610441767067,0.2,5,0.02,10000,1.118852535925437,9.941153394012066e-05,1.1598968644875423,1.323814400894219,2.4066809015188575,6.437345663696966,1
0.46275502008032127,0.2,5,0.02,10000,1.738697146665147,9.967231805288109e-05,1.7754242947288759,1.653946540833793,2.4604475493335634,5.722340841214326,1
0.5229839357429719,0.2,5,0.02,10000,2.1498830779722353,0.00010065464116765195,2.189262454948802,1.9992523659283623,2.292715338137606,5.586781225406867,3
0.603289156626506,0.2,5,0.02,10000,2.6372050319334734,9.955744445500483e-05,2.6746026531590714,2.4574304962947107,1.2459184045496516,5.55313113639936,3
0.6635180722891566,0.2,5,0.02,10000,2.982305916486449,9.968820375178908e-05,3.0251592191047263,2.793234364638186,0.7797307113210544,5.293999370363218,5
0.603289156626506,0.30000000000000004,5,0.02,10000,1.110352434227982,0.00010066553536493827,1.1477647568765534,1.3993867240692768,3.901884161312109,8.21062801839702,1
0.7438232931726907,0.30000000000000004,5,0.02,10000,1.9724292233719327,0.00010028065852759927,2.008790835689626,1.899572719616535,4.215094295468371,7.870804779244232,1
0.8843574297188754,0.30000000000000004,5,0.02,10000,2.5568304489301865,9.706700507140715e-05,2.596124660547525,2.414787034999519,3.923189551466626,7.414979910656931,1
1.0248915662650602,0.30000000000000004,5,0.02,10000,3.0929441904189123,9.817864263677612e-05,3.134875741264256,2.9381353958825875,2.6654934914155075,6.244050650270426,3
1.1654257028112447,0.30000000000000004,5,0.02,10000,3.6075671783651995,0.00010179983123898066,3.6477132459479575,3.438508452798276,0.9924412990933936,6.8566296876024975,5
0.8040522088353413,0.4,5,0.02,1200,1.1058838099535402,0.0001026128961564401,1.143404764050633,1.2791353002711674,5.42944660832638,56.80860863127996,1
1.0449678714859436,0.4,5,0.02,10000,2.1464930181540463,0.00010113029132796031,2.1852507461496433,2.0810894536140427,6.242991017997969,9.659019699655746,1
1.285883534136546,0.4,5,0.02,10000,2.865731064355173,9.890088118897212e-05,2.904235031326444,2.724228295455111,5.945285970348357,9.121473114932824,3
1.5267991967871484,0.4,5,0.02,10000,3.533982464268469,9.985629352303601e-05,3.574606267636801,3.3751516669837045,4.183326633313001,7.914186830739693,3
1.7677148594377508,0.4,5,0.02,10000,4.180131829943508,0.00010033842417763902,4.219763192969157,3.9999378859832926,1.443523265469659,9.094674488963564,5
1.0048152610441765,0.5,5,0.02,600,1.1029830575013693,9.987499168027745e-05,1.1386429860949565,1.105220321174207,2.8013686284156774,13.744540789873193,1
1.3661887550200802,0.5,5,0.02,1600,2.29699005812652,0.00010099552782767994,2.336277404758044,2.226690740218836,7.432457058037425,46.693952883643654,1
1.7275622489959837,0.5,5,0.02,10000,3.136312825647991,9.893111588710486e-05,3.174428328102469,3.0073637545877316,7.7281337134640875,10.82846926977433,3
2.0688594377510037,0.5,5,0.02,10000,3.8798457308545315,0.00010008285959985177,3.9154936399701947,3.7140543223042917,5.745873678098818,9.387541891208793,3
2.4302329317269074,0.5,5,0.02,10000,4.645194254806733,0.00010009056399892195,4.681993058174437,4.505194755888978,0.8487038802129968,6.826207236904367,5
1.2055783132530118,0.6,5,0.02,400,1.1011001700154075,9.825520227480715e-05,1.1394850591561745,0.9928986986624269,0.9268354611664079,13.311090871635718,1
1.6874096385542166,0.6,5,0.02,1000,2.394684012399175,0.0001002056141481752,2.4329778354843237,2.306111196385373,7.444743723287894,12.706753652057941,1
2.1893172690763048,0.6,5,0.02,2600,3.3504589463329744,9.74293740238624e-05,3.390310523791199,3.2230217727020065,9.76358778768644,13.105374417251586,1
2.691224899598393,0.6,5,0.02,10000,4.250133769069074,9.972496220577424e-05,4.2880184104069325,4.092273535709818,7.151672772213864,9.594638834466807,3
3.173056224899598,0.6,5,0.02,10000,5.092055860740846,9.820237040297212e-05,5.1287711638714075,4.956747892101102,0.8940516365150202,6.9662800377146,0
1.4063413654618473,0.7000000000000001,5,0.02,400,1.0998184131259183,9.9113700757295e-05,1.1385252031765296,1.1649639926513748,4.183955101450669,31.51846713482444,1
2.0487831325301205,0.7000000000000001,5,0.02,1000,2.531716234450324,9.977627502125006e-05,2.5670709407192978,2.449492056872542,10.852736873278538,31.541148125552592,1
2.691224899598393,0.7000000000000001,5,0.02,1800,3.5640974312895075,9.983766396142242e-05,3.60649078617892,3.4265751066695276,11.267398330376361,12.125745933333897,3
3.3336666666666663,0.7000000000000001,5,0.02,10000,4.542268057353638,9.847824795367622e-05,4.587848630521406,4.4063357605623255,8.480025898817589,10.683633216495915,3
3.9761084337349395,0.7000000000000001,5,0.02,10000,5.498355232153547,0.00010008526564478742,5.533368555409894,5.361309095139095,1.1194848567665083,8.44451132076087,0
1.6071044176706826,0.8,5,0.02,200,1.0988690463718938,9.961471577418031e-05,1.1451076623396446,0.9104393942381155,0.171356222133867,2.9037202801182365,5
2.4101566265060237,0.8,5,0.02,600,2.632998143703761,9.871220497773968e-05,2.6735732425301606,2.5096452528862723,5.925369018301294,12.565717383032842,1
3.2132088353413653,0.8,5,0.02,1400,3.7500404467801283,0.00010074167183805355,3.787906822512797,3.604578374519247,12.411609956201525,21.633745313158453,3
4.0363373493975905,0.8,5,0.02,10000,4.838688471011165,9.939859726171907e-05,4.875574342488746,4.712426327308425,10.043394686546351,11.421577223912566,3
4.839389558232932,0.8,5,0.02,10000,5.879058123005393,0.00010031346891479565,5.914073362580465,5.738681764598403,1.3422489513689375,9.55925202507213,0
1.8078674698795179,0.9,5,0.02,200,1.0980822442122244,9.959318956274314e-05,1.1345563471078615,0.9186823433152193,0.24849229163253145,4.760607219331605,5
2.610919678714859,0.9,5,0.02,600,2.5012530565028723,9.70747186367695e-05,2.541134577063984,2.4240123047283606,10.994844655330583,38.158437233752274,1
3.4139718875502005,0.9,5,0.02,1000,3.508268411605612,0.00010163424393279232,3.5525160786990475,3.405348008736542,15.138622340923817,82.26699249615172,1
4.196947791164659,0.9,5,0.02,1400,4.438016588830294,0.00010114136920424862,4.476534257044226,4.314081892455332,10.01820050154084,12.371947555544219,3
5.0,0.9,5,0.02,10000,5.369183398468502,0.00010014450153830101,5.404177995640561,5.237363117803823,10.066308312317922,11.141511012045031,3
2.008630522088353,1.0,5,0.02,200,1.0973060030652655,9.69346370980659e-05,1.1347857960101535,0.9602368825974459,0.5396920933407485,9.111481831747213,5
2.7514538152610437,1.0,5,0.02,400,2.320448706509288,0.00010192213177540384,2.3625436102642268,2.241170071709312,6.216434778597774,13.877464170859879,1
3.4942771084337347,1.0,5,0.02,600,3.1797679340765352,0.0001001245468510553,3.2235250179047075,3.0738450238030772,10.299551597489414,13.973024736787437,1
4.257176706827309,1.0,5,0.02,800,4.00748954234149,0.00010047592275336158,4.046824452839821,3.8584565851212234,9.700633923262636,12.314711713800829,3
5.0,1.0,5,0.02,1400,4.791281152047953,0.00010149725791975449,4.833175068844577,4.675064035195181,11.361978687104441,21.398290058064045,3
2.2093935742971884,1.1,5,0.02,200,1.0968446180528182,9.779492463175093e-05,1.136598990610092,1.070942972813295,1.7758665270503138,17.03507552241186,1
2.912064257028112,1.1,5,0.02,400,2.1910145824636205,0.00010305621003709145,2.227616431966571,2.1609359180344057,10.665481789033596,27.897149684592353,1
3.614734939759036,1.1,5,0.02,400,2.946729372327471,0.0001005349556639629,2.984807174718519,2.840429223527329,4.849033784763356,11.177161419850028,3
4.297329317269076,1.1,5,0.02,600,3.6314601726396107,9.956654951232249e-05,3.672457634611165,3.495941546991016,10.98921440748131,13.747661343828572,3
5.0,1.1,5,0.02,800,4.3135144847484375,9.696227844838095e-05,4.358149943128568,4.1973230069764,10.102743370242694,12.647938548986668,3
2.4101566265060237,1.2000000000000002,5,0.02,200,1.0964318494532583,0.00010090891029523199,1.1313219565564319,1.20355988863891,4.102057124100271,17.60768769274246,1
3.052598393574297,1.2000000000000002,5,0.02,200,2.0578930782850997,0.00010069118935749673,2.097342298142474,1.9034183934406341,0.7579549020422909,8.203520682642553,5
3.69504016064257,1.2000000000000002,5,0.02,400,2.7101339913052453,9.86398083634751e-05,2.7472688443139455,2.633658158674764,10.450922090556146,16.02027449013936,1
4.357558232931727,1.2000000000000002,5,0.02,400,3.3311130376305518,0.00010256789321822834,3.3712964955356703,3.2058204243116464,5.717294143462533,11.433372784279596,1
5.0,1.2000000000000002,5,0.02,600,3.9108633687886725,0.00010185163626790061,3.9489576227329546,3.7655601984910168,12.281712546034953,13.339357573759104,3
2.610919678714859,1.3000000000000003,5,0.02,200,1.0958628374397235,9.966813991896751e-05,1.1369501757910976,1.3219870526710127,8.699154369435547,72.4266450191308,1
3.2132088353413653,1.3000000000000003,5,0.02,200,1.96210886820117,9.851751618740428e-05,2.0004440785800686,1.837274670998863,1.3679580401152958,9.986305561119911,5
3.815497991967871,1.3000000000000003,5,0.02,400,2.5414686160851114,9.910823679543743e-05,2.5810152307133487,2.4953427952260596,14.954905234042826,45.93313880318952,1
4.397710843373494,1.3000000000000003,5,0.02,400,3.055671332587673,0.00010048851230155674,3.0929612091318193,2.9687165037318195,11.15881806225977,14.185038206104057,1
5.0,1.3000000000000003,5,0.02,400,3.5657346954322877,9.965230593795094e-05,3.6053142312558584,3.431702796839319,7.345911615399367,11.831240419924887,3
2.8116827309236947,1.4000000000000001,5,0.02,149,1.0954409618032215,9.967581562339548e-05,1.1306585388175112,1.068477469214346,1.5484255203958768,15.727876145863723,1
3.35374297188755,1.4000000000000001,5,0.02,200,1.8569818772626507,0.00010163488964059174,1.89509894595113,1.7945166411127287,2.9548307231171926,13.623904071046795,1
3.8958032128514053,1.4000000000000001,5,0.02,200,2.3587590437260846,0.00010129943037631311,2.3950238674563273,2.2243245343441322,1.5986286937444056,10.154158728536077,5
4.457939759036145,1.4000000000000001,5,0.02,400,2.8311280540887687,0.0001011529334425538,2.8687837760971204,2.7803605233744277,15.387932575661326,35.45608514841019,1
